Winter period,,,,,Summer period,,,
Time from,Time to,Heat Demand,  ,,Time from,Time to,Heat Demand,Electricity Price
DKK local time,DKK local time,MWh,DKK / Mwh(el),,DKK local time,DKK local time,MWh,DKK / Mwh(el)
3/1/2024 0:00,3/1/2024 1:00,6.62,1190.94,,8/11/2024 0:00,8/11/2024 1:00,1.79,752.03
3/1/2024 1:00,3/1/2024 2:00,6.85,1154.55,,8/11/2024 1:00,8/11/2024 2:00,1.85,691.05
3/1/2024 2:00,3/1/2024 3:00,6.98,1116.22,,8/11/2024 2:00,8/11/2024 3:00,1.76,674.78
3/1/2024 3:00,3/1/2024 4:00,7.04,1101.12,,8/11/2024 3:00,8/11/2024 4:00,1.67,652.95
3/1/2024 4:00,3/1/2024 5:00,7.72,1086.24,,8/11/2024 4:00,8/11/2024 5:00,1.73,666.3
3/1/2024 5:00,3/1/2024 6:00,7.85,1109.53,,8/11/2024 5:00,8/11/2024 6:00,1.79,654.6
3/1/2024 6:00,3/1/2024 7:00,8.15,1307.4,,8/11/2024 6:00,8/11/2024 7:00,1.82,637.05
3/1/2024 7:00,3/1/2024 8:00,7.62,1463.3,,8/11/2024 7:00,8/11/2024 8:00,1.81,639.45
3/1/2024 8:00,3/1/2024 9:00,7.55,1608.78,,8/11/2024 8:00,8/11/2024 9:00,1.84,628.28
3/1/2024 9:00,3/1/2024 10:00,7.6,1309.7,,8/11/2024 9:00,8/11/2024 10:00,1.88,570.3
3/1/2024 10:00,3/1/2024 11:00,7.75,952.51,,8/11/2024 10:00,8/11/2024 11:00,2,456.75
3/1/2024 11:00,3/1/2024 12:00,7.06,882.93,,8/11/2024 11:00,8/11/2024 12:00,1.86,347.4
3/1/2024 12:00,3/1/2024 13:00,6.68,860.31,,8/11/2024 12:00,8/11/2024 13:00,1.78,264.15
3/1/2024 13:00,3/1/2024 14:00,6.73,854.88,,8/11/2024 13:00,8/11/2024 14:00,1.6,125.33
3/1/2024 14:00,3/1/2024 15:00,6.84,850.12,,8/11/2024 14:00,8/11/2024 15:00,1.57,125.48
3/1/2024 15:00,3/1/2024 16:00,7.3,933.09,,8/11/2024 15:00,8/11/2024 16:00,1.55,300
3/1/2024 16:00,3/1/2024 17:00,7.39,953.26,,8/11/2024 16:00,8/11/2024 17:00,1.57,456.75
3/1/2024 17:00,3/1/2024 18:00,7.68,951.1,,8/11/2024 17:00,8/11/2024 18:00,1.53,625.5
3/1/2024 18:00,3/1/2024 19:00,7.38,765.21,,8/11/2024 18:00,8/11/2024 19:00,1.52,804.75
3/1/2024 19:00,3/1/2024 20:00,7.4,716.47,,8/11/2024 19:00,8/11/2024 20:00,1.5,907.5
3/1/2024 20:00,3/1/2024 21:00,7.56,696.3,,8/11/2024 20:00,8/11/2024 21:00,1.5,965.7
3/1/2024 21:00,3/1/2024 22:00,7.69,665.34,,8/11/2024 21:00,8/11/2024 22:00,1.48,996.45
3/1/2024 22:00,3/1/2024 23:00,7.66,663.56,,8/11/2024 22:00,8/11/2024 23:00,1.51,972.9
3/1/2024 23:00,3/2/2024 0:00,7.54,636.77,,8/11/2024 23:00,8/12/2024 0:00,1.55,869.4
3/2/2024 0:00,3/2/2024 1:00,7.58,615.31,,8/12/2024 0:00,8/12/2024 1:00,1.54,820.8
3/2/2024 1:00,3/2/2024 2:00,7.68,588.89,,8/12/2024 1:00,8/12/2024 2:00,1.47,763.05
3/2/2024 2:00,3/2/2024 3:00,7.71,577.88,,8/12/2024 2:00,8/12/2024 3:00,1.41,763.65
3/2/2024 3:00,3/2/2024 4:00,7.7,577.66,,8/12/2024 3:00,8/12/2024 4:00,1.43,715.8
