Time From (DK),Time To (DK),Heat Production (MW),Expenses (DKK),Gas Consumption (MWh(gas)),Oil Consumption (MWh(oil)),CO2 Emissions (Kg),Units Used
08/11/2024 00:00:00,08/11/2024 01:00:00,1.79,930.8,1.61,0,313.25,Gas Boiler 1
08/11/2024 01:00:00,08/11/2024 02:00:00,1.85,962,1.66,0,323.75,Gas Boiler 1
08/11/2024 02:00:00,08/11/2024 03:00:00,1.76,915.2,1.58,0,308,Gas Boiler 1
08/11/2024 03:00:00,08/11/2024 04:00:00,1.67,868.4,1.5,0,292.25,Gas Boiler 1
08/11/2024 04:00:00,08/11/2024 05:00:00,1.73,899.6,1.56,0,302.75,Gas Boiler 1
08/11/2024 05:00:00,08/11/2024 06:00:00,1.79,930.8,1.61,0,313.25,Gas Boiler 1
08/11/2024 06:00:00,08/11/2024 07:00:00,1.82,946.4,1.64,0,318.5,Gas Boiler 1
08/11/2024 07:00:00,08/11/2024 08:00:00,1.81,941.2,1.63,0,316.75,Gas Boiler 1
08/11/2024 08:00:00,08/11/2024 09:00:00,1.84,956.8,1.66,0,322,Gas Boiler 1
08/11/2024 09:00:00,08/11/2024 10:00:00,1.88,977.6,1.69,0,329,Gas Boiler 1
08/11/2024 10:00:00,08/11/2024 11:00:00,2,1040,1.8,0,350,Gas Boiler 1
08/11/2024 11:00:00,08/11/2024 12:00:00,1.86,967.2,1.67,0,325.5,Gas Boiler 1
08/11/2024 12:00:00,08/11/2024 13:00:00,1.78,925.6,1.6,0,311.5,Gas Boiler 1
08/11/2024 13:00:00,08/11/2024 14:00:00,1.6,832,1.44,0,280,Gas Boiler 1
08/11/2024 14:00:00,08/11/2024 15:00:00,1.57,816.4,1.41,0,274.75,Gas Boiler 1
08/11/2024 15:00:00,08/11/2024 16:00:00,1.55,806,1.39,0,271.25,Gas Boiler 1
08/11/2024 16:00:00,08/11/2024 17:00:00,1.57,816.4,1.41,0,274.75,Gas Boiler 1
08/11/2024 17:00:00,08/11/2024 18:00:00,1.53,795.6,1.38,0,267.75,Gas Boiler 1
08/11/2024 18:00:00,08/11/2024 19:00:00,1.52,790.4,1.37,0,266,Gas Boiler 1
08/11/2024 19:00:00,08/11/2024 20:00:00,1.5,780,1.35,0,262.5,Gas Boiler 1
08/11/2024 20:00:00,08/11/2024 21:00:00,1.5,780,1.35,0,262.5,Gas Boiler 1
08/11/2024 21:00:00,08/11/2024 22:00:00,1.48,769.6,1.33,0,259,Gas Boiler 1
08/11/2024 22:00:00,08/11/2024 23:00:00,1.51,785.2,1.36,0,264.25,Gas Boiler 1
08/11/2024 23:00:00,08/12/2024 00:00:00,1.55,806,1.39,0,271.25,Gas Boiler 1
08/12/2024 00:00:00,08/12/2024 01:00:00,1.54,800.8,1.39,0,269.5,Gas Boiler 1
08/12/2024 01:00:00,08/12/2024 02:00:00,1.47,764.4,1.32,0,257.25,Gas Boiler 1
08/12/2024 02:00:00,08/12/2024 03:00:00,1.41,733.2,1.27,0,246.75,Gas Boiler 1
08/12/2024 03:00:00,08/12/2024 04:00:00,1.43,743.6,1.29,0,250.25,Gas Boiler 1
08/12/2024 04:00:00,08/12/2024 05:00:00,1.43,743.6,1.29,0,250.25,Gas Boiler 1
08/12/2024 05:00:00,08/12/2024 06:00:00,1.45,754,1.31,0,253.75,Gas Boiler 1
08/12/2024 06:00:00,08/12/2024 07:00:00,1.47,764.4,1.32,0,257.25,Gas Boiler 1
08/12/2024 07:00:00,08/12/2024 08:00:00,1.5,780,1.35,0,262.5,Gas Boiler 1
08/12/2024 08:00:00,08/12/2024 09:00:00,1.62,842.4,1.46,0,283.5,Gas Boiler 1
08/12/2024 09:00:00,08/12/2024 10:00:00,1.7,884,1.53,0,297.5,Gas Boiler 1
08/12/2024 10:00:00,08/12/2024 11:00:00,1.74,904.8,1.57,0,304.5,Gas Boiler 1
08/12/2024 11:00:00,08/12/2024 12:00:00,1.68,873.6,1.51,0,294,Gas Boiler 1
08/12/2024 12:00:00,08/12/2024 13:00:00,1.58,821.6,1.42,0,276.5,Gas Boiler 1
08/12/2024 13:00:00,08/12/2024 14:00:00,1.45,754,1.31,0,253.75,Gas Boiler 1
08/12/2024 14:00:00,08/12/2024 15:00:00,1.43,743.6,1.29,0,250.25,Gas Boiler 1
08/12/2024 15:00:00,08/12/2024 16:00:00,1.42,738.4,1.28,0,248.5,Gas Boiler 1
08/12/2024 16:00:00,08/12/2024 17:00:00,1.47,764.4,1.32,0,257.25,Gas Boiler 1
08/12/2024 17:00:00,08/12/2024 18:00:00,1.46,759.2,1.31,0,255.5,Gas Boiler 1
08/12/2024 18:00:00,08/12/2024 19:00:00,1.5,780,1.35,0,262.5,Gas Boiler 1
08/12/2024 19:00:00,08/12/2024 20:00:00,1.5,780,1.35,0,262.5,Gas Boiler 1
08/12/2024 20:00:00,08/12/2024 21:00:00,1.44,748.8,1.3,0,252,Gas Boiler 1
08/12/2024 21:00:00,08/12/2024 22:00:00,1.45,754,1.31,0,253.75,Gas Boiler 1
08/12/2024 22:00:00,08/12/2024 23:00:00,1.44,748.8,1.3,0,252,Gas Boiler 1
08/12/2024 23:00:00,08/13/2024 00:00:00,1.47,764.4,1.32,0,257.25,Gas Boiler 1
08/13/2024 00:00:00,08/13/2024 01:00:00,1.4,728,1.26,0,245,Gas Boiler 1
