Time From (DK),Time To (DK),Heat Production (MW),Electricity Production (MW),Electricity Consumption (MW),Expenses (DKK),Profit (DKK),Gas Consumption (MWh(gas)),Oil Consumption (MWh(oil)),CO2 Emissions (Kg),Units Used
08/11/2024 00:00:00,08/11/2024 01:00:00,1.79,0,10.74,1453.53,0,0,0,0,Heat Pump 1
08/11/2024 01:00:00,08/11/2024 02:00:00,1.85,0,11.1,1389.44,0,0,0,0,Heat Pump 1
08/11/2024 02:00:00,08/11/2024 03:00:00,1.76,0,10.56,1293.21,0,0,0,0,Heat Pump 1
08/11/2024 03:00:00,08/11/2024 04:00:00,1.67,0,10.02,1190.63,0,0,0,0,Heat Pump 1
08/11/2024 04:00:00,08/11/2024 05:00:00,1.73,0,10.38,1256.5,0,0,0,0,Heat Pump 1
08/11/2024 05:00:00,08/11/2024 06:00:00,1.79,0,10.74,1279.13,0,0,0,0,Heat Pump 1
08/11/2024 06:00:00,08/11/2024 07:00:00,1.82,0,10.92,1268.63,0,0,0,0,Heat Pump 1
08/11/2024 07:00:00,08/11/2024 08:00:00,1.81,0,10.86,1266,0,0,0,0,Heat Pump 1
08/11/2024 08:00:00,08/11/2024 09:00:00,1.84,0,11.04,1266.44,0,0,0,0,Heat Pump 1
08/11/2024 09:00:00,08/11/2024 10:00:00,1.88,0,11.28,1184.96,0,0,0,0,Heat Pump 1
08/11/2024 10:00:00,08/11/2024 11:00:00,2,0,12,1033.5,0,0,0,0,Heat Pump 1
08/11/2024 11:00:00,08/11/2024 12:00:00,1.86,0,11.16,757.76,0,0,0,0,Heat Pump 1
08/11/2024 12:00:00,08/11/2024 13:00:00,1.78,0,10.68,576.99,0,0,0,0,Heat Pump 1
08/11/2024 13:00:00,08/11/2024 14:00:00,1.6,0,9.6,296.53,0,0,0,0,Heat Pump 1
08/11/2024 14:00:00,08/11/2024 15:00:00,1.57,0,9.42,291.2,0,0,0,0,Heat Pump 1
08/11/2024 15:00:00,08/11/2024 16:00:00,1.55,0,9.3,558,0,0,0,0,Heat Pump 1
08/11/2024 16:00:00,08/11/2024 17:00:00,1.57,0,9.42,811.3,0,0,0,0,Heat Pump 1
08/11/2024 17:00:00,08/11/2024 18:00:00,1.53,0,9.18,1048.82,0,0,0,0,Heat Pump 1
08/11/2024 18:00:00,08/11/2024 19:00:00,1.52,3.95,0,1504.8,1223.22,2.74,0,988,Gas Motor 1
08/11/2024 19:00:00,08/11/2024 20:00:00,1.5,3.9,0,1485,1361.25,2.7,0,975,Gas Motor 1
08/11/2024 20:00:00,08/11/2024 21:00:00,1.5,3.9,0,1485,1448.55,2.7,0,975,Gas Motor 1
08/11/2024 21:00:00,08/11/2024 22:00:00,1.48,3.85,0,1465.2,1474.75,2.66,0,962,Gas Motor 1
08/11/2024 22:00:00,08/11/2024 23:00:00,1.51,3.93,0,1494.9,1469.08,2.72,0,981.5,Gas Motor 1
08/11/2024 23:00:00,08/12/2024 00:00:00,1.55,4.03,0,1534.5,1347.57,2.79,0,1007.5,Gas Motor 1
08/12/2024 00:00:00,08/12/2024 01:00:00,1.54,4,0,1524.6,1264.03,2.77,0,1001,Gas Motor 1
08/12/2024 01:00:00,08/12/2024 02:00:00,1.47,0,8.82,1209.88,0,0,0,0,Heat Pump 1
08/12/2024 02:00:00,08/12/2024 03:00:00,1.41,0,8.46,1161.35,0,0,0,0,Heat Pump 1
08/12/2024 03:00:00,08/12/2024 04:00:00,1.43,0,8.58,1109.39,0,0,0,0,Heat Pump 1
08/12/2024 04:00:00,08/12/2024 05:00:00,1.43,0,8.58,1113.15,0,0,0,0,Heat Pump 1
08/12/2024 05:00:00,08/12/2024 06:00:00,1.45,0,8.7,1141,0,0,0,0,Heat Pump 1
08/12/2024 06:00:00,08/12/2024 07:00:00,1.47,0,8.82,1132.05,0,0,0,0,Heat Pump 1
08/12/2024 07:00:00,08/12/2024 08:00:00,1.5,0,9,1116,0,0,0,0,Heat Pump 1
08/12/2024 08:00:00,08/12/2024 09:00:00,1.62,0,9.72,1145.02,0,0,0,0,Heat Pump 1
08/12/2024 09:00:00,08/12/2024 10:00:00,1.7,0,10.2,1085.16,0,0,0,0,Heat Pump 1
08/12/2024 10:00:00,08/12/2024 11:00:00,1.74,0,10.44,888.97,0,0,0,0,Heat Pump 1
08/12/2024 11:00:00,08/12/2024 12:00:00,1.68,0,10.08,732.31,0,0,0,0,Heat Pump 1
08/12/2024 12:00:00,08/12/2024 13:00:00,1.58,0,9.48,636.23,0,0,0,0,Heat Pump 1
08/12/2024 13:00:00,08/12/2024 14:00:00,1.45,0,8.7,489.27,0,0,0,0,Heat Pump 1
08/12/2024 14:00:00,08/12/2024 15:00:00,1.43,0,8.58,566.82,0,0,0,0,Heat Pump 1
08/12/2024 15:00:00,08/12/2024 16:00:00,1.42,0,8.52,672.55,0,0,0,0,Heat Pump 1
08/12/2024 16:00:00,08/12/2024 17:00:00,1.47,0,8.82,892.8,0,0,0,0,Heat Pump 1
08/12/2024 17:00:00,08/12/2024 18:00:00,1.46,0,8.76,989.88,0,0,0,0,Heat Pump 1
08/12/2024 18:00:00,08/12/2024 19:00:00,1.5,0,9,1264.62,0,0,0,0,Heat Pump 1
08/12/2024 19:00:00,08/12/2024 20:00:00,1.5,3.9,0,1485,1374.87,2.7,0,975,Gas Motor 1
08/12/2024 20:00:00,08/12/2024 21:00:00,1.44,3.74,0,1425.6,1425.6,2.59,0,936,Gas Motor 1
08/12/2024 21:00:00,08/12/2024 22:00:00,1.45,3.77,0,1435.5,1458.34,2.61,0,942.5,Gas Motor 1
08/12/2024 22:00:00,08/12/2024 23:00:00,1.44,3.74,0,1425.6,1426.9,2.59,0,936,Gas Motor 1
08/12/2024 23:00:00,08/13/2024 00:00:00,1.47,3.82,0,1455.3,1318.59,2.65,0,955.5,Gas Motor 1
08/13/2024 00:00:00,08/13/2024 01:00:00,1.4,3.64,0,1386,1181.15,2.52,0,910,Gas Motor 1
08/13/2024 01:00:00,08/13/2024 02:00:00,1.32,0,7.92,1089,0,0,0,0,Heat Pump 1
08/13/2024 02:00:00,08/13/2024 03:00:00,1.28,0,7.68,982.08,0,0,0,0,Heat Pump 1
08/13/2024 03:00:00,08/13/2024 04:00:00,1.33,0,7.98,996.9,0,0,0,0,Heat Pump 1
08/13/2024 04:00:00,08/13/2024 05:00:00,1.35,0,8.1,1025.77,0,0,0,0,Heat Pump 1
08/13/2024 05:00:00,08/13/2024 06:00:00,1.35,0,8.1,1145.54,0,0,0,0,Heat Pump 1
08/13/2024 06:00:00,08/13/2024 07:00:00,1.42,3.69,0,1405.8,1295.79,2.56,0,923,Gas Motor 1
08/13/2024 07:00:00,08/13/2024 08:00:00,1.49,3.87,0,1475.1,1483.82,2.68,0,968.5,Gas Motor 1
08/13/2024 08:00:00,08/13/2024 09:00:00,1.55,4.03,0,1534.5,1560.9,2.79,0,1007.5,Gas Motor 1
08/13/2024 09:00:00,08/13/2024 10:00:00,1.58,4.11,0,1564.2,1397.72,2.84,0,1027,Gas Motor 1
08/13/2024 10:00:00,08/13/2024 11:00:00,1.68,0,10.08,1427.33,0,0,0,0,Heat Pump 1
08/13/2024 11:00:00,08/13/2024 12:00:00,1.73,0,10.38,1336.3,0,0,0,0,Heat Pump 1
08/13/2024 12:00:00,08/13/2024 13:00:00,1.68,0,10.08,1225.11,0,0,0,0,Heat Pump 1
08/13/2024 13:00:00,08/13/2024 14:00:00,1.62,0,9.72,1071.14,0,0,0,0,Heat Pump 1
08/13/2024 14:00:00,08/13/2024 15:00:00,1.51,0,9.06,820.73,0,0,0,0,Heat Pump 1
08/13/2024 15:00:00,08/13/2024 16:00:00,1.53,0,9.18,801.08,0,0,0,0,Heat Pump 1
08/13/2024 16:00:00,08/13/2024 17:00:00,1.46,0,8.76,776.79,0,0,0,0,Heat Pump 1
08/13/2024 17:00:00,08/13/2024 18:00:00,1.51,0,9.06,1000.68,0,0,0,0,Heat Pump 1
08/13/2024 18:00:00,08/13/2024 19:00:00,1.55,4.03,0,1534.5,1417.91,2.79,0,1007.5,Gas Motor 1
08/13/2024 19:00:00,08/13/2024 20:00:00,1.53,3.98,0,1514.7,1899.01,2.75,0,994.5,Gas Motor 1
08/13/2024 20:00:00,08/13/2024 21:00:00,1.5,3.9,0,1485,1978.77,2.7,0,975,Gas Motor 1
08/13/2024 21:00:00,08/13/2024 22:00:00,1.49,3.87,0,1475.1,2012.29,2.68,0,968.5,Gas Motor 1
08/13/2024 22:00:00,08/13/2024 23:00:00,1.47,3.82,0,1455.3,1796.19,2.65,0,955.5,Gas Motor 1
08/13/2024 23:00:00,08/14/2024 00:00:00,1.57,4.08,0,1554.3,1574.32,2.83,0,1020.5,Gas Motor 1
08/14/2024 00:00:00,08/14/2024 01:00:00,1.53,3.98,0,1514.7,1427.61,2.75,0,994.5,Gas Motor 1
08/14/2024 01:00:00,08/14/2024 02:00:00,1.54,4,0,1524.6,1336.8,2.77,0,1001,Gas Motor 1
08/14/2024 02:00:00,08/14/2024 03:00:00,1.42,0,8.52,1206.55,0,0,0,0,Heat Pump 1
08/14/2024 03:00:00,08/14/2024 04:00:00,1.46,0,8.76,1190.05,0,0,0,0,Heat Pump 1
