Time From (DK),Time To (DK),Heat Production (MW),Expenses (DKK),Gas Consumption (MWh(gas)),Oil Consumption (MWh(oil)),CO2 Emissions (Kg),Units Used
03/01/2024 00:00:00,03/01/2024 01:00:00,6.62,3547.2,5.43,0,1040.6,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 01:00:00,03/01/2024 02:00:00,6.85,3676,5.6,0,1070.5,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 02:00:00,03/01/2024 03:00:00,6.98,3748.8,5.69,0,1087.4,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 03:00:00,03/01/2024 04:00:00,7.04,3786.8,5.7,0.06,1103.2,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 04:00:00,03/01/2024 05:00:00,7.72,4242.4,5.7,1.08,1327.6,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 05:00:00,03/01/2024 06:00:00,7.85,4329.5,5.7,1.27,1370.5,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 06:00:00,03/01/2024 07:00:00,8.15,4530.5,5.7,1.73,1469.5,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 07:00:00,03/01/2024 08:00:00,7.62,4175.4,5.7,0.93,1294.6,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 08:00:00,03/01/2024 09:00:00,7.55,4128.5,5.7,0.82,1271.5,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 09:00:00,03/01/2024 10:00:00,7.6,4162,5.7,0.9,1288,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 10:00:00,03/01/2024 11:00:00,7.75,4262.5,5.7,1.12,1337.5,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 11:00:00,03/01/2024 12:00:00,7.06,3800.2,5.7,0.09,1109.8,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
03/01/2024 12:00:00,03/01/2024 13:00:00,6.68,3580.8,5.48,0,1048.4,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 13:00:00,03/01/2024 14:00:00,6.73,3608.8,5.51,0,1054.9,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 14:00:00,03/01/2024 15:00:00,6.84,3670.4,5.59,0,1069.2,"Gas Boiler 1, Gas Boiler 2"
03/01/2024 15:00:00,03/01/2024 16:00:00,7.3,3961,5.7,0.45,1189,"Gas Boiler 1, Gas Boiler 2, Oil Boiler 1"
