Time From (DK),Time To (DK),Heat Production (MW),Electricity Production (MW),Electricity Consumption (MW),Expenses (DKK),Profit (DKK),Gas Consumption (MWh(gas)),Oil Consumption (MWh(oil)),CO2 Emissions (Kg),Units Used
03/01/2024 00:00:00,03/01/2024 01:00:00,6.62,9.1,0,5087.4,4168.29,9.11,0,2821,"Gas Motor 1, Gas Boiler 1"
03/01/2024 01:00:00,03/01/2024 02:00:00,6.85,9.1,0,5207,4040.92,9.32,0,2861.25,"Gas Motor 1, Gas Boiler 1"
03/01/2024 02:00:00,03/01/2024 03:00:00,6.98,9.1,0,5274.6,3906.77,9.43,0,2884,"Gas Motor 1, Gas Boiler 1"
03/01/2024 03:00:00,03/01/2024 04:00:00,7.04,9.1,0,5305.8,3853.92,9.49,0,2894.5,"Gas Motor 1, Gas Boiler 1"
03/01/2024 04:00:00,03/01/2024 05:00:00,7.72,9.1,0,5692.4,3801.84,9.9,0.33,3047.6,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 05:00:00,03/01/2024 06:00:00,7.85,9.1,0,5779.5,3883.36,9.9,0.52,3090.5,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 06:00:00,03/01/2024 07:00:00,8.15,9.1,0,5980.5,4575.9,9.9,0.98,3189.5,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 07:00:00,03/01/2024 08:00:00,7.62,9.1,0,5625.4,5121.55,9.9,0.18,3014.6,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 08:00:00,03/01/2024 09:00:00,7.55,9.1,0,5578.5,5630.73,9.9,0.07,2991.5,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 09:00:00,03/01/2024 10:00:00,7.6,9.1,0,5612,4583.95,9.9,0.15,3008,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 10:00:00,03/01/2024 11:00:00,7.75,9.1,0,5712.5,3333.78,9.9,0.38,3057.5,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 11:00:00,03/01/2024 12:00:00,7.06,9.1,0,5316.2,3090.25,9.5,0,2898,"Gas Motor 1, Gas Boiler 1"
03/01/2024 12:00:00,03/01/2024 13:00:00,6.68,9.1,0,5118.6,3011.08,9.16,0,2831.5,"Gas Motor 1, Gas Boiler 1"
03/01/2024 13:00:00,03/01/2024 14:00:00,6.73,9.1,0,5144.6,2992.08,9.21,0,2840.25,"Gas Motor 1, Gas Boiler 1"
03/01/2024 14:00:00,03/01/2024 15:00:00,6.84,9.1,0,5201.8,2975.42,9.31,0,2859.5,"Gas Motor 1, Gas Boiler 1"
03/01/2024 15:00:00,03/01/2024 16:00:00,7.3,9.1,0,5441,3265.82,9.72,0,2940,"Gas Motor 1, Gas Boiler 1"
03/01/2024 16:00:00,03/01/2024 17:00:00,7.39,9.1,0,5487.8,3336.41,9.8,0,2955.75,"Gas Motor 1, Gas Boiler 1"
03/01/2024 17:00:00,03/01/2024 18:00:00,7.68,9.1,0,5665.6,3328.85,9.9,0.27,3034.4,"Gas Motor 1, Gas Boiler 1, Oil Boiler 1"
03/01/2024 18:00:00,03/01/2024 19:00:00,7.38,9.1,0,5482.6,2678.24,9.79,0,2954,"Gas Motor 1, Gas Boiler 1"
03/01/2024 19:00:00,03/01/2024 20:00:00,7.4,9.1,0,5493,2507.64,9.81,0,2957.5,"Gas Motor 1, Gas Boiler 1"
